Artist,Number of weeks in top ten,Peak,Peak date,Title,Top ten entry date,Year,Unique Words,Total Words
Ricky Nelson,6,1,4-Aug,Poor Little Fool,4-Aug,1958,76,197
Pérez Prado,6,2,4-Aug,Patricia,4-Aug,1958,9999,9999
Bobby Darin,3,3,4-Aug,Splish Splash,4-Aug,1958,100,222
Elvis Presley,2,4,4-Aug,Hard Headed Woman,4-Aug,1958,80,188
Kalin Twins,5,5,4-Aug,When,4-Aug,1958,35,185
Duane Eddy,3,6,4-Aug,Rebel 'Rouser,4-Aug,1958,9999,9999
The Coasters,1,7,4-Aug,Yakety Yak,4-Aug,1958,81,163
Jack Scott,6,3,18-Aug,My True Love,4-Aug,1958,57,160
The Johnny Otis Show,2,9,4-Aug,Willie and the Hand Jive,4-Aug,1958,91,178
Peggy Lee,3,8,25-Aug,Fever,4-Aug,1958,124,288
Domenico Modugno,10,1,18-Aug,Nel Blu Dipinto Di Blu (Volare),11-Aug,1958,75,173
Jimmy Clanton,8,4,25-Aug,Just a Dream,11-Aug,1958,73,206
The Elegants,9,1,25-Aug,Little Star,18-Aug,1958,55,239
The Everly Brothers,11,2,15-Sep,Bird Dog,25-Aug,1958,84,266
The Poni-Tails,3,7,15-Sep,Born Too Late,25-Aug,1958,50,136
Frankie Avalon,2,9,1-Sep,Ginger Bread,1-Sep,1958,47,147
Jimmie Rodgers,1,10,1-Sep,Are You Really Mine?,1-Sep,1958,73,253
Bobby Day,10,2,13-Oct,Rockin' Robin,8-Sep,1958,78,313
The Olympics,2,8,15-Sep,Western Movies,8-Sep,1958,107,211
Tommy Edwards,12,1,29-Sep,It's All in the Game,15-Sep,1958,55,114
Little Anthony and the Imperials,8,4,13-Oct,Tears on My Pillow,15-Sep,1958,56,136
Robin Luke,7,5,13-Oct,Susie Darlin',15-Sep,1958,86,197
The Everly Brothers,1,10,22-Sep,Devoted to You,22-Sep,1958,60,154
Eddie Cochran,2,8,29-Sep,Summertime Blues,29-Sep,1958,92,201
Roger Williams,3,10,29-Sep,Near You,29-Sep,1958,9999,9999
Tommy Dorsey,6,7,3-Nov,Tea for Two Cha Cha,6-Oct,1958,48,159
Earl Grant,3,7,13-Oct,The End,13-Oct,1958,49,143
Cozy Cole,8,3,20-Oct,"Topsy, Part 2",20-Oct,1958,9999,9999
Conway Twitty,10,1,10-Nov,It's Only Make Believe,20-Oct,1958,61,175
The Kingston Trio,12,1,17-Nov,Tom Dooley,20-Oct,1958,78,277
The Big Bopper,5,6,3-Nov,Chantilly Lace,20-Oct,1958,73,293
The Teddy Bears,11,1,1-Dec,To Know Him Is to Love Him,10-Nov,1958,47,192
Ricky Nelson,2,10,10-Nov,I Got a Feeling,10-Nov,1958,65,138
The Playmates,7,4,1-Dec,Beep Beep,17-Nov,1958,118,334
Ricky Nelson,8,7,1-Dec,Lonesome Town,17-Nov,1958,52,103
Bobby Darin,3,9,17-Nov,Queen of the Hop,17-Nov,1958,82,229
Elvis Presley,8,4,15-Dec,One Night,24-Nov,1958,60,146
Elvis Presley,4,8,24-Nov,I Got Stung,24-Nov,1958,111,190
The Everly Brothers,7,2,15-Dec,Problems,1-Dec,1958,69,120
The Chipmunks with David Seville,6,1,22-Dec,The Chipmunk Song (Christmas Don't Be Late),15-Dec,1958,84,199
The Platters,10,1,19-Jan,Smoke Gets in Your Eyes,15-Dec,1959,69,105
Clyde McPhatter,7,6,19-Jan,A Lover's Question,22-Dec,1959,56,195
Fats Domino,5,6,12-Jan,Whole Lotta Lovin',29-Dec,1959,51,119
Connie Francis,7,2,19-Jan,My Happiness,5-Jan,1959,64,106
Billy Grammer,7,4,12-Jan,Gotta Travel On,5-Jan,1959,61,280
Ritchie Valens,10,2,23-Feb,Donna,19-Jan,1959,46,135
The Crests,8,2,9-Feb,16 Candles,19-Jan,1959,48,121
Lloyd Price,10,1,9-Feb,Stagger Lee,19-Jan,1959,114,215
Jackie Wilson,5,7,9-Feb,Lonely Teardrops,26-Jan,1959,55,192
Jack Scott,4,8,16-Feb,Goodbye Baby,26-Jan,1959,36,172
Bill Parsons,5,2,2-Feb,The All American Boy,2-Feb,1959,165,330
Reg Owen Orchestra,2,10,9-Feb,Manhattan Spiritual,9-Feb,1959,9999,9999
The Coasters,8,2,9-Mar,Charlie Brown,23-Feb,1959,61,200
LaVern Baker,3,6,23-Feb,I Cried a Tear,23-Feb,1959,47,107
Annette,1,7,23-Feb,Tall Paul,23-Feb,1959,43,142
Chris Barber,3,5,2-Mar,Petite Fleur,23-Feb,1959,176,284
Ray Anthony,3,8,2-Mar,Peter Gunn,23-Feb,1959,9999,9999
Frankie Avalon,10,1,9-Mar,Venus,2-Mar,1959,69,170
The Chipmunks with David Seville,6,3,16-Mar,Alvin's Harmonica,2-Mar,1959,102,220
The Bell Notes,4,6,9-Mar,I've Had It,9-Mar,1959,43,116
Brook Benton,7,3,6-Apr,It's Just a Matter of Time,9-Mar,1959,64,109
Thomas Wayne,6,5,23-Mar,Tragedy,16-Mar,1959,46,104
Ricky Nelson,6,6,6-Apr,Never Be Anyone Else But You,16-Mar,1959,69,198
The Fleetwoods,8,1,13-Apr,Come Softly to Me,23-Mar,1959,51,310
Dodie Stevens,8,3,13-Apr,Pink Shoe Laces,30-Mar,1959,111,296
Ricky Nelson,3,9,6-Apr,It's Late,30-Mar,1959,84,349
The Virtues,6,5,27-Apr,Guitar Boogie Shuffle,6-Apr,1959,85,185
Elvis Presley,5,2,27-Apr,(Now and Then There's) A Fool Such as I,13-Apr,1959,51,178
Elvis Presley,5,4,20-Apr,I Need Your Love Tonight,13-Apr,1959,64,106
"Dave ""Baby"" Cortez",7,1,11-May,The Happy Organ,27-Apr,1959,48,256
Travis and Bob,2,8,27-Apr,Tell Him No,27-Apr,1959,180,387
The Impalas,7,2,11-May,Sorry (I Ran All the Way Home),27-Apr,1959,20,32
Fabian,4,9,11-May,Turn Me Loose,27-Apr,1959,71,237
Edward Byrnes with Connie Stevens,6,4,11-May,"Kookie, Kookie (Lend Me Your Comb)",11-May,1959,109,234
Wilbert Harrison,8,1,18-May,Kansas City,11-May,1959,74,215
Dion and the Belmonts,7,5,18-May,A Teenager in Love,18-May,1959,70,241
Bobby Darin,10,2,8-Jun,Dream Lover,18-May,1959,75,275
Johnny Horton,13,1,1-Jun,The Battle of New Orleans,18-May,1959,137,438
Martin Denny,7,4,1-Jun,Quiet Village,18-May,1959,41,77
Lloyd Price,10,2,15-Jun,Personality,25-May,1959,48,226
Franck Pourcel's French Fiddles,4,9,1-Jun,Only You (And You Alone),25-May,1959,9999,9999
Freddy Cannon,6,6,29-Jun,Tallahassee Lassie,15-Jun,1959,47,184
Paul Anka,10,1,13-Jul,Lonely Boy,15-Jun,1959,60,164
The Coasters,2,9,22-Jun,Along Came Jones,22-Jun,1959,113,306
Connie Francis,6,5,29-Jun,Lipstick on Your Collar,22-Jun,1959,79,184
Stonewall Jackson,6,4,13-Jul,Waterloo,6-Jul,1959,72,188
Frankie Avalon,1,8,6-Jul,Bobby Sox to Stockings,6-Jul,1959,59,174
Connie Francis,1,9,6-Jul,Frankie,6-Jul,1959,61,139
Fabian,6,3,20-Jul,Tiger,6-Jul,1959,98,294
Carl Dobkins Jr.,7,3,3-Aug,My Heart Is an Open Book,13-Jul,1959,44,169
